id,Branch,gender,Category,articleType,baseColour,season,year,usage,Product DisplayName, Price,Sales,review_score
919,Kontum,men,Fragrance,Perfume and Body Mist,Black,Spring,2018,Casual,DKNY Women Delicious Night Perfume,193,743,5
920,Ha Noi,men,Bottomwear,Capris,Blue,Summer,2021,Sports,Urban Yoga Women Blue Capris,380,305,1
921,Kontum,men,Shoes,Casual Shoes,Silver,Summer,2020,Casual,Timberland Men Black Casual Shoes,487,582,5
922,Da Nang,women,Topwear,Shirts,Blue,Fall,2021,Formal,Peter England Men Stripes Blue Shirt,425,498,5
923,Kontum,men,Watches,Watches,Purple,Winter,2021,Casual,Timex Men Black Dial Watch,480,255,4
924,Da Nang,men,Topwear,Tops,Blue,Fall,2020,Casual,Jealous 21 Women's All Girls Dying Jealousy Pink Top,143,411,3
925,Ho Chi Minh City,men,Loungewear and Nightwear,Lounge Pants,Purple,Summer,2018,Casual,Jockey Women Assorted Lounge Pants,239,713,2
926,Da Nang,women,Topwear,Tshirts,Silver,Fall,2019,Sports,Nike Mens Blue Polo T-shirt,487,214,5
927,Da Nang,women,Watches,Watches,Blue,Winter,2020,Casual,Fastrack Women Black Dial Watch,140,218,3
928,Kontum,women,Shoes,Sports Shoes,Purple,Summer,2018,Sports,ADIDAS Men White Aztek Shoes,146,187,5
929,Ha Noi,women,Topwear,Shirts,Purple,Fall,2022,Casual,Indigo Nation Men Plain Orange Shirts,175,320,3
930,Ho Chi Minh City,women,Lips,Lipstick,White,Spring,2021,Casual,Lakme Absolute Matte Milan Red Lipstick 48,478,287,1
931,Ha Noi,women,Shoes,Casual Shoes,Blue,Summer,2021,Casual,Gas Men Skate 003 Casual Shoe,416,201,5
932,Da Nang,women,Shoes,Heels,Blue,Fall,2021,Casual,Clarks Women Cream Coloured Onslow Beat Leather Wedges,349,478,5
933,Ha Noi,women,Shoes,Heels,White,Winter,2022,Casual,Catwalk Women Wedding Heeled Bronze Heels,468,533,4
934,Da Nang,men,Watches,Watches,Black,Winter,2018,Casual,Maxima Ssteele Men Black Watch,200,719,1
935,Ha Noi,men,Flip Flops,Flip Flops,Silver,Summer,2019,Casual,Lotto Men's Thong Blue White Flip Flop,304,576,3
936,Ho Chi Minh City,men,Belts,Belts,Silver,Summer,2018,Formal,Peter England Men Formal Brown Belt,406,781,5
937,Da Nang,women,Jewellery,Earrings,Black,Winter,2018,Ethnic,Fabindia Women Anusuya Silver Earrings,236,310,5
938,Ha Noi,women,Watches,Watches,Purple,Winter,2021,Casual,Fossil Men Black Dial Chronograph Watch CH2737,492,516,5
939,Da Nang,men,Topwear,Tshirts,Black,Fall,2018,Casual,Puma Men Graphic White TShirt,398,435,5
940,Ha Noi,women,Eyewear,Sunglasses,Purple,Winter,2020,Casual,Park Avenue Men Black Sunglasses,329,496,5
941,Da Nang,women,Wallets,Wallets,Purple,Summer,2022,Casual,Lino Perros Men Brown Wallet,307,752,2
942,Ho Chi Minh City,women,Shoes,Sports Shoes,Black,Fall,2021,Sports,Nike Men White T-Lite 9 SL Shoes,323,317,1
943,Da Nang,women,Topwear,Sweatshirts,Black,Fall,2022,Casual,Puma Women Solid Pink Sweatshirts,138,450,4
944,Ha Noi,men,Topwear,Tops,Purple,Summer,2021,Casual,Sepia Women Purple Top,114,266,1
945,Ho Chi Minh City,men,Nails,Nail Polish,Purple,Spring,2018,Casual,Streetwear Grape Shimmer Nail Polish 41,347,259,1
946,Ho Chi Minh City,men,Bags,Handbags,Black,Winter,2018,Casual,Lino Perros Women Leatherite Brown Handbag,181,560,5
947,Ho Chi Minh City,men,Topwear,Tshirts,Silver,Fall,2019,Casual,Locomotive Men Printed Charcoal T-shirt,155,638,1
948,Kontum,men,Shoes,Casual Shoes,Black,Fall,2021,Casual,Clarks Men Goto Hi Cola Suede Brown Shoes,294,345,2
949,Ho Chi Minh City,men,Watches,Watches,Brown,Winter,2019,Casual,Titan Men White Dial Watch,147,609,2
950,Ho Chi Minh City,women,Shoes,Sports Shoes,Silver,Fall,2022,Sports,Nike Men Free Run+ 2 Black Sports Shoes,143,728,5
951,Ha Noi,women,Bags,Handbags,Brown,Winter,2021,Casual,Kiara Women Rose Pink Handbag,254,642,3
952,Da Nang,women,Shoes,Casual Shoes,Purple,Summer,2019,Casual,Fila Men Leonard Red Shoes,468,346,5
953,Ho Chi Minh City,women,Shoes,Formal Shoes,Silver,Summer,2019,Formal,Lee Cooper Men Black Semi Formal Shoe,367,627,5
954,Kontum,women,Jewellery,Earrings,Brown,Winter,2018,Casual,Fabindia Silver Drop Earrings,166,520,5
955,Kontum,women,Watches,Watches,Silver,Winter,2020,Casual,Q&Q Women White Dial Watch,434,797,5
956,Ho Chi Minh City,men,Makeup,Compact,Purple,Spring,2019,Casual,Lotus Herbals Natural Blend Botanical Compact 550,189,604,4
957,Ho Chi Minh City,women,Topwear,Tshirts,Purple,Summer,2018,Sports,Reebok Kids Kkr Boy's Premium Blue Jerseys,305,125,2
958,Ho Chi Minh City,men,Shoes,Sports Shoes,Black,Summer,2019,Sports,Reebok Men's Easytone Inspire White Shoe,145,466,4
959,Da Nang,women,Watches,Watches,Purple,Winter,2019,Casual,Casio Edifice Men Analog Watch EF-130D-1A5VDF(ED419),468,262,3
960,Ha Noi,women,Saree,Sarees,Black,Fall,2018,Ethnic,FNF Khaki Collection for Wedding Sari,408,511,3
961,Kontum,women,Shoes,Heels,Blue,Fall,2022,Casual,Rockport Women Jeanie Oneband Brown Flats,448,767,5
962,Ho Chi Minh City,men,Watches,Watches,Silver,Winter,2020,Casual,Fossil Men Blue Dial Chronograph Watch CH2752,288,616,2
963,Ho Chi Minh City,men,Fragrance,Deodorant,White,Spring,2018,Casual,Spinz Women Enchante Deo,488,214,3
964,Ho Chi Minh City,women,Bags,Backpacks,Silver,Winter,2021,Casual,American Tourister Unisex Black Backpack,316,497,5
965,Da Nang,women,Shoes,Sports Shoes,Black,Summer,2020,Sports,ADIDAS Men's Canon Dialect Blue Yellow Shoe,354,764,5
966,Ha Noi,men,Shoes,Casual Shoes,Purple,Fall,2020,Casual,Footfun Kids Unisex Red Shoes,455,683,1
967,Da Nang,men,Topwear,Tshirts,White,Fall,2019,Casual,U.S. Polo Assn. Men Stripes DK.Grey Polo Tshirt,230,632,5
968,Da Nang,women,Bottomwear,Leggings,Black,Fall,2022,Casual,Arrow Woman Brown Jeggings,111,726,5
969,Kontum,men,Shoes,Casual Shoes,Purple,Fall,2021,Casual,Timberland Men Black Casual Shoes,383,147,5
970,Ho Chi Minh City,women,Topwear,Tops,Silver,Summer,2019,Casual,Tonga Women Olive Top,170,686,4
971,Kontum,women,Shoes,Heels,White,Winter,2020,Casual,Rocia Women Maroon Sandals,434,702,2
972,Da Nang,women,Bottomwear,Jeans,Blue,Summer,2022,Casual,Deni Yo Men White Jeans,418,181,4
973,Ha Noi,women,Topwear,Sweatshirts,Brown,Fall,2020,Sports,Nike Men Black Sweatshirt,202,542,2
974,Kontum,men,Shoes,Casual Shoes,Blue,Summer,2021,Casual,Fila Women Sleeker Green Check Casual Shoes,230,385,1
975,Ha Noi,men,Belts,Belts,Brown,Summer,2019,Casual,Wrangler Women Black Belt,269,742,4
976,Ha Noi,women,Wallets,Wallets,Purple,Summer,2021,Casual,American Tourister Men Black Wallet,434,612,1
977,Ho Chi Minh City,men,Topwear,Tshirts,Brown,Summer,2019,Casual,Mark Taylor Men Printed Blue T-shirt,155,559,2
978,Ha Noi,men,Topwear,Tshirts,Purple,Summer,2021,Casual,Myntra Men's I Give 100 Percent Work White T-shirt,362,509,5
979,Kontum,women,Shoes,Casual Shoes,Brown,Summer,2020,Casual,ID Men White Shoes,391,254,3
980,Ho Chi Minh City,men,Shoes,Sports Shoes,Brown,Fall,2021,Sports,Nike Women Downshifter White Sports Shoes,353,490,5
981,Kontum,men,Apparel Set,Kurta Sets,Brown,Fall,2022,Ethnic,Vishudh Women Pink Churidar Kurta with Dupatta,107,369,5
982,Kontum,women,Topwear,Shirts,Blue,Fall,2021,Casual,Flying Machine Men Ydc Blue Shirts,364,88,3
983,Ho Chi Minh City,women,Loungewear and Nightwear,Night suits,Blue,Summer,2021,Casual,SDL by Sweet Dreams Men Black & Grey Pyjama Set,484,233,4
984,Da Nang,women,Bottomwear,Jeans,Brown,Summer,2019,Casual,Peter England Men Black Jeans,447,471,1
985,Kontum,men,Topwear,Tshirts,Silver,Fall,2021,Casual,Flying Machine Men Stripes Blue Polo Tshirts,298,564,5
986,Ho Chi Minh City,men,Shoes,Sports Shoes,White,Summer,2018,Sports,Puma Women Speeder Wns Ind White Sports Shoes,121,340,5
987,Da Nang,women,Topwear,Shirts,Blue,Summer,2020,Casual,United Colors of Benetton Men Pink Shirt,151,780,1
988,Ha Noi,women,Shoes,Sports Shoes,Brown,Summer,2021,Sports,Puma Men's Tarun White Silver Red Shoe,495,623,5
989,Da Nang,women,Innerwear,Briefs,Black,Summer,2021,Casual,Park Avenue Men Grey Melange Briefs,498,283,4
990,Kontum,women,Innerwear,Bra,Purple,Summer,2020,Casual,Enamor Maroon Bra FB06,347,477,5
991,Da Nang,men,Shoes,Formal Shoes,Brown,Winter,2021,Formal,Red Tape Men Brown Shoes,423,254,5
992,Da Nang,women,Sandal,Sandals,Black,Summer,2021,Casual,Enroute Teens Brown Sandals,192,608,5
993,Kontum,men,Topwear,Tshirts,Black,Summer,2018,Casual,Lee Women's Rihana Purple T-shirt,125,406,3
994,Da Nang,women,Belts,Belts,Blue,Summer,2021,Casual,Peter England Men Black Belt,467,597,3
995,Da Nang,women,Topwear,Tshirts,Black,Fall,2021,Casual,Doodle Boys living Upto White Tshirt,117,630,5
996,Ha Noi,women,Jewellery,Pendant,Purple,Summer,2021,Casual,Lucera Women Silver Pendant with Chain,148,601,1
997,Ha Noi,women,Watches,Watches,Blue,Winter,2020,Casual,Police Men Black Dial Watch PL12778MSU-61,112,727,4
998,Kontum,men,Accessories,Messenger Bag,White,Summer,2022,Casual,American Tourister Unisex Purple Messenger Bag,372,277,3
999,Ha Noi,men,Topwear,Tshirts,Purple,Summer,2019,Sports,CSK Mens Fangear Yellow Jersey,151,579,4
1000,Ho Chi Minh City,women,Bottomwear,Trousers,White,Summer,2021,Formal,John Miller Men Striped Grey Trousers,393,527,1
1001,Ho Chi Minh City,women,Topwear,Shirts,Silver,Fall,2019,Formal,Reid & Taylor Men White Shirt,188,481,2
1002,Ho Chi Minh City,men,Topwear,Kurtas,Blue,Summer,2019,Ethnic,Sushilas Women Multi Coloured Kurta,304,222,1
1003,Ho Chi Minh City,women,Shoes,Heels,White,Winter,2021,Casual,Catwalk Women Silver Flats,303,214,3
1004,Ha Noi,men,Watches,Watches,Blue,Winter,2021,Casual,SKAGEN DENMARK Men Silver-Toned Dial Watch 233LSS,288,125,2
1005,Da Nang,women,Dress,Dresses,White,Summer,2021,Casual,109F Women Multi Coloured Dress,427,345,3
1006,Ha Noi,women,Shoes,Sports Shoes,Blue,Fall,2019,Sports,ADIDAS Men Snova Glide Blue Sports Shoes,224,734,2
1007,Da Nang,women,Shoes,Sports Shoes,Silver,Summer,2022,Sports,Force 10 Men Black & Green Sports Shoes,157,455,1
1008,Ho Chi Minh City,women,Topwear,Kurtas,Silver,Fall,2020,Ethnic,Satya Paul Women Green Printed Kaftan,180,557,5
1009,Kontum,women,Watches,Watches,Black,Winter,2021,Casual,CASIO G-Shock Men White Analogue & Digital Watch G274,444,521,5
1010,Da Nang,men,Topwear,Shirts,White,Fall,2018,Formal,John Miller Men Black Checks Shirts,459,389,5
1011,Da Nang,men,Fragrance,Perfume and Body Mist,Blue,Spring,2020,Casual,Nike Fragrances Women Sensual Touch Perfume,328,526,5
1012,Ho Chi Minh City,women,Topwear,Tshirts,Purple,Summer,2019,Casual,UCB Women's Young Pigment Blue T-shirt,327,230,5
1013,Ha Noi,women,Bags,Mobile Pouch,Brown,Summer,2021,Casual,Baggit Women Purple Phulrani Brush Mobile Pouch,241,190,5
1014,Ha Noi,women,Topwear,Tshirts,Purple,Summer,2022,Casual,Arrow Woman Grey T-shirt,142,618,4
1015,Ha Noi,women,Bottomwear,Leggings,White,Fall,2021,Ethnic,Aurelia Women Solid Beige Leggings,184,207,5
1016,Da Nang,women,Jewellery,Earrings,Blue,Winter,2021,Casual,Estelle Women Earrings,315,686,5
1017,Da Nang,women,Topwear,Tshirts,Blue,Fall,2022,Sports,ADIDAS Women's Black T-shirt,170,174,3
1018,Da Nang,women,Bags,Handbags,Brown,Summer,2020,Casual,Nike Women Track Tote Pink Handbag,288,617,5
1019,Ha Noi,women,Shoes,Formal Shoes,Brown,Winter,2021,Formal,Buckaroo Men Medina Brown Formal Shoes,468,548,4
1020,Kontum,women,Shoes,Casual Shoes,Black,Spring,2022,Casual,Vans Men Black Era Shoes,376,356,5
1021,Da Nang,men,Shoes,Casual Shoes,Blue,Fall,2020,Casual,Timberland Unisex Casual Brown Casual Shoes,325,617,5
1022,Da Nang,women,Topwear,Tshirts,White,Fall,2019,Sports,Nike Men Football Soccer Red Jerseys,260,260,4
1023,Ho Chi Minh City,women,Eyewear,Sunglasses,Brown,Winter,2020,Casual,Fastrack Men UV protected Sporty Wrap Sunglasses,349,351,3
1024,Ha Noi,women,Belts,Belts,Silver,Spring,2019,Casual,Baggit Women Purple Belt,182,140,5
1025,Kontum,women,Skin Care,Eye Cream,Black,Spring,2022,Casual,Olay Women Total Effects Anti-Ageing Eye Cream,457,405,5
1026,Da Nang,women,Shoes,Casual Shoes,Silver,Summer,2022,Casual,Playboy Men Black Shoes,210,736,5
1027,Kontum,men,Bags,Clutches,Purple,Winter,2020,Casual,Murcia Women Casual Black Clutch,125,754,5
1028,Ho Chi Minh City,men,Lips,Lipstick,White,Spring,2019,Casual,Colorbar Soft Touch Wood Heart Lipstick 039,449,494,1
1029,Da Nang,men,Topwear,Kurtas,Silver,Fall,2021,Ethnic,Diva Women Printed White Kurta,114,663,5
1030,Da Nang,men,Watches,Watches,Black,Winter,2018,Casual,Q&Q Men Black Dial Watch,465,128,2
1031,Ha Noi,men,Topwear,Sweatshirts,Brown,Fall,2018,Casual,Urban Yoga Women Solid Pink Sweatshirts,389,359,5
1032,Ha Noi,women,Shoes,Casual Shoes,Purple,Summer,2018,Casual,Gas Men Mila Navy Blue Shoes,250,185,5
1033,Da Nang,women,Topwear,Shirts,Blue,Fall,2018,Casual,s.Oliver Women Printed Black Shirt,454,424,4
1034,Ha Noi,women,Topwear,Tshirts,Purple,Summer,2019,Casual,Disney Kids Boy's Regatta Annual Blue Teen Kidswear,372,219,1
1035,Kontum,men,Shoes,Flats,Purple,Winter,2020,Casual,Rocia Women Maroon Sandals,193,190,3
1036,Kontum,women,Bags,Handbags,Blue,Summer,2021,Casual,Baggit Women Blue Handbag,169,584,3
1037,Ha Noi,women,Bags,Handbags,Blue,Summer,2019,Casual,Kiara Women Beige Handbag,338,602,1
1038,Kontum,women,Topwear,Sweatshirts,Purple,Fall,2021,Sports,Reebok Women Boat-Neck Wildberry Sweatshirt,212,630,1
1039,Da Nang,men,Lips,Lipstick,Purple,Spring,2021,Casual,Lotus Herbals Moistpetals Berry Punch Lipstick 121,475,98,4
1040,Kontum,women,Fragrance,Perfume and Body Mist,Silver,Spring,2021,Casual,J.Del Pozo Halloween Women Perfume,492,676,3
1041,Da Nang,women,Topwear,Tshirts,White,Fall,2018,Casual,Tokyo Talkies Women White T-shirt,448,501,2
1042,Kontum,women,Bags,Handbags,Blue,Winter,2021,Casual,Kiara Women Glossy White Handbag,276,374,5
1043,Kontum,women,Shoes,Heels,Silver,Winter,2021,Casual,Catwalk Women Blue & White Sandals,425,205,3
1044,Ho Chi Minh City,men,Topwear,Shirts,Purple,Summer,2020,Casual,Wrangler Men Purple Striped Shirt,326,636,3
1045,Kontum,women,Topwear,Tops,Brown,Summer,2021,Casual,Jealous 21 Women Black Shimmery Falling Neck Top,184,213,1
1046,Ha Noi,women,Bags,Handbags,Purple,Winter,2022,Casual,Lino Perros Women Solid Brown Handbag,384,388,2
1047,Kontum,women,Shoes,Sports Shoes,Brown,Summer,2020,Sports,Nike Men Air Impetus II White Sports Shoe,415,780,5
1048,Da Nang,women,Topwear,Shirts,White,Fall,2021,Formal,John Miller Men  White Shirt,371,555,4
1049,Ho Chi Minh City,men,Jewellery,Bangle,Brown,Summer,2021,Casual,Revv Men Steel Bangle,209,369,1
1050,Ho Chi Minh City,women,Sandal,Sports Sandals,Silver,Winter,2018,Casual,Rocia Women Casual Black Sandal,233,713,5
1051,Ha Noi,women,Shoes,Casual Shoes,Blue,Winter,2022,Casual,Red Tape Men Casual Brown Casual Shoes,203,581,4
1052,Da Nang,men,Topwear,Tshirts,Black,Fall,2019,Casual,U.S. Polo Assn. Men Printed Limoges Blue Tshirt,219,514,5
1053,Kontum,men,Shoes,Flats,Blue,Winter,2020,Casual,Portia Women White Flats,195,760,5
1054,Kontum,women,Topwear,Tshirts,Black,Summer,2020,Casual,Classic Polo Men Black T-shirt,379,396,4
1055,Ho Chi Minh City,women,Wallets,Wallets,Blue,Summer,2018,Casual,French Connection Women Maroon Wallet,187,156,3
1056,Kontum,men,Topwear,Shirts,Black,Fall,2022,Casual,Indigo Nation Men Bling Technification Red Black Shirts,320,683,5
1057,Ho Chi Minh City,men,Shoes,Casual Shoes,White,Fall,2019,Casual,ADIDAS Men Brown Shoes,324,548,1
1058,Da Nang,men,Watches,Watches,Silver,Winter,2022,Casual,Fastrack Men Gunmetal-Toned Dial Watch NA3015AL01,168,443,1
1059,Da Nang,women,Topwear,Jackets,White,Fall,2019,Casual,Nike Men Casual Olive Jacket,127,781,1
1060,Ha Noi,women,Bags,Clutches,Purple,Summer,2019,Casual,Peperone Women Yellow Clutch,265,603,1
1061,Kontum,men,Eyewear,Sunglasses,Purple,Winter,2022,Casual,Fastrack Unisex Brown Sunglasses,147,422,2
1062,Da Nang,women,Topwear,Tshirts,Blue,Summer,2018,Casual,Gini and Jony Boy's Kent Pack of 3 Tee Kidswear,435,225,2
1063,Ha Noi,women,Shoes,Heels,Silver,Winter,2019,Casual,Portia Women Brown Sandals,119,87,5
1064,Ho Chi Minh City,women,Shoes,Casual Shoes,Brown,Fall,2021,Casual,Numero Uno Men Navy Blue Shoes,106,234,4
1065,Ha Noi,women,Topwear,Tshirts,White,Summer,2019,Casual,Nike Men Printed Boxed White T-shirt,252,320,2
1066,Kontum,women,Saree,Sarees,Purple,Fall,2022,Ethnic,FNF Red & Gold Collection for Wedding Sari,299,174,1
1067,Ha Noi,men,Shoes,Sports Shoes,Brown,Summer,2022,Sports,Nike Women Free White Pink Shoe,309,356,1
1068,Ho Chi Minh City,women,Topwear,Tshirts,White,Fall,2022,Casual,Wrangler Men Famous Filafil Blue T-Shirts,434,621,2
1069,Ha Noi,women,Topwear,Tops,Blue,Summer,2019,Casual,Jealous 21 Women Black Top,119,473,5
1070,Kontum,women,Headwear,Caps,Silver,Summer,2020,Casual,Puma Unisex Cat Logo Black Cap,403,494,1
1071,Ho Chi Minh City,men,Innerwear,Briefs,Blue,Summer,2022,Casual,Enamor Women Lupine Coloured Briefs,250,295,5
1072,Da Nang,women,Topwear,Kurtas,Blue,Summer,2021,Ethnic,Fabindia Women Beige Kurta,267,549,5
1073,Ho Chi Minh City,women,Jewellery,Ring,Brown,Fall,2021,Casual,Lucera Women Silver Ring,346,415,5
1074,Da Nang,women,Topwear,Shirts,White,Summer,2022,Formal,Scullers For Her Blue Shirt,252,187,4
1075,Da Nang,women,Lips,Lip Gloss,White,Spring,2020,Casual,Revlon ColorBurst Strawberry Lip Gloss 06,450,783,5
1076,Kontum,women,Topwear,Tshirts,White,Summer,2021,Casual,Classic Polo Men's Navy Grey Stripe T-shirt,471,199,5
1077,Da Nang,women,Belts,Belts,Blue,Summer,2020,Casual,Fossil Women Black Midnight  Belt,193,413,5
1078,Kontum,women,Shoes,Casual Shoes,Blue,Summer,2021,Casual,Fila Men Syncro White Shoes,245,735,4
1079,Ho Chi Minh City,men,Bags,Clutches,White,Summer,2020,Casual,French Connection Women Grey Clutch,488,730,1
1080,Kontum,women,Topwear,Tops,Brown,Fall,2018,Casual,United Colors of Benetton Women Solid Black Tops,319,505,2
1081,Ha Noi,men,Accessories,Travel Accessory,Black,Summer,2022,Casual,United Colors of Benetton Women Solid Black Bags,492,345,4
1082,Kontum,men,Ties,Ties,Black,Fall,2019,Formal,Turtle Men Solid Black Ties,287,546,3
1083,Ho Chi Minh City,men,Topwear,Tshirts,Black,Summer,2020,Casual,Inkfruit Men Night Wolf T-shirt,431,673,1
1084,Da Nang,women,Watches,Watches,Purple,Winter,2022,Casual,Titan Men Black Watch,149,566,2
1085,Kontum,women,Shoes,Casual Shoes,Brown,Fall,2019,Casual,Basics Men Black Casual Shoes,183,527,5
1086,Da Nang,men,Fragrance,Deodorant,Purple,Spring,2021,Casual,Cavallini Men Deo,101,786,5
1087,Da Nang,men,Watches,Watches,Purple,Winter,2020,Casual,Q&Q Men Black Digital Watch M119J003Y,229,419,1
1088,Kontum,men,Topwear,Kurtas,Black,Summer,2022,Ethnic,Aneri Women Magenta & Black Kurta,490,617,2
1089,Kontum,men,Topwear,Tops,Black,Summer,2021,Casual,Allen Solly Woman Cream Top,468,681,5
1090,Ha Noi,men,Bags,Handbags,White,Winter,2020,Casual,Murcia Women Casual Black Handbag,137,460,1
1091,Da Nang,men,Topwear,Kurtis,Blue,Summer,2020,Ethnic,Aneri Women Multi Coloured Kurti,260,708,5
1092,Kontum,women,Innerwear,Bra,White,Summer,2022,Casual,Peri Peri Women Black Bra,107,527,5
1093,Da Nang,women,Topwear,Tshirts,Silver,Fall,2021,Casual,Nike Men Special Edition 3 Star Polo Black Tshirts,485,426,4
1094,Ho Chi Minh City,women,Topwear,Shirts,Silver,Fall,2021,Casual,Basics Men Blue Slim Fit Checked Shirt,103,550,5
1095,Ha Noi,women,Topwear,Shirts,White,Summer,2022,Casual,UCB Men Ben Logo Black Shirt,272,762,5
1096,Kontum,men,Topwear,Shirts,Brown,Fall,2018,Casual,Scullers Men Check Purple Shirts,434,436,5
1097,Ha Noi,men,Topwear,Tops,Purple,Summer,2018,Casual,United Colors of Benetton Women Solid Blue Top,427,672,4
1098,Ho Chi Minh City,women,Dress,Dresses,Blue,Summer,2018,Casual,Forever New Women Pink Sleeveless Dress,489,453,5
1099,Da Nang,women,Fragrance,Perfume and Body Mist,Silver,Spring,2020,Casual,Nautica Blue Men Perfumes,421,636,4
1100,Ha Noi,women,Shoes,Casual Shoes,White,Fall,2020,Casual,Puma Men Archive Boot WTR Brown Casual Shoes,304,781,3
1101,Ho Chi Minh City,women,Bags,Handbags,Purple,Summer,2020,Casual,Pitaraa Women Green Sling Bag,466,544,5
1102,Kontum,women,Sandal,Sandals,Black,Fall,2022,Casual,Gliders Men Yellow Sandals,489,231,5
1103,Kontum,men,Bags,Clutches,White,Summer,2021,Casual,Fabindia Women Green Silk Clutch,298,187,1
1104,Ho Chi Minh City,women,Innerwear,Trunk,Black,Summer,2018,Casual,Jockey ZONE Men Black Modern Trunks US19,407,729,3
1105,Ho Chi Minh City,women,Topwear,Shirts,White,Fall,2020,Smart Casual,Scullers For Her Women White Striped Shirt,295,122,1
1106,Da Nang,women,Headwear,Caps,White,Fall,2020,Casual,United colors of benetton Women Blue Cap,268,370,3
1107,Kontum,women,Jewellery,Ring,Brown,Summer,2021,Casual,Lucera Women Silver Ring,134,370,5
1108,Kontum,women,Topwear,Shirts,White,Summer,2021,Casual,Locomotive Men Check Lafayette Blue Shirts,425,709,5
1109,Da Nang,women,Dress,Dresses,Black,Summer,2019,Casual,Giny and Jony Girls Printed White & Pink Dress,362,492,5
1110,Ha Noi,men,Dress,Dresses,Purple,Summer,2020,Casual,French Connection Women Grey Melange Dress,112,265,3
1111,Ho Chi Minh City,women,Innerwear,Trunk,Black,Summer,2018,Casual,Hanes Men Black Modern Duo Dry Cotton Stretch Trunks,322,286,3
1112,Da Nang,women,Watches,Watches,White,Winter,2020,Casual,Helix Men Black Watch,296,124,5
1113,Ha Noi,women,Wallets,Wallets,Purple,Summer,2022,Casual,Reid & Taylor Men Brown Wallet,177,407,5
1114,Da Nang,women,Wallets,Wallets,White,Summer,2022,Casual,United Colors of Benetton Women Solid Grey Charcoal Wallets,243,451,3
1115,Ha Noi,men,Topwear,Tshirts,Black,Fall,2019,Casual,Mr. Men Green T-shirt,224,786,5
1116,Ha Noi,women,Topwear,Tshirts,Black,Winter,2019,Sports,FIFA Men Germany Blue Jersey,449,741,4
1117,Ha Noi,women,Bags,Handbags,White,Summer,2021,Casual,Mod'acc Women Orange Handbag,139,400,2
1118,Ho Chi Minh City,men,Topwear,Tunics,Silver,Summer,2018,Casual,Elle Women Blue Tunic,288,682,2
1119,Ho Chi Minh City,women,Watches,Watches,White,Winter,2021,Casual,Fossil Men Silver-Toned Dial Chronograph Watch FS4643,400,631,3
1120,Ho Chi Minh City,women,Topwear,Shirts,Black,Summer,2021,Casual,Wrangler Men Griffith White Shirt,230,493,1
1121,Ho Chi Minh City,women,Topwear,Kurtas,Blue,Summer,2018,Ethnic,Aneri Women Purple Kurta,281,122,1
1122,Da Nang,men,Topwear,Tshirts,Purple,Summer,2021,Casual,Gini and Jony Boys Core White T-shirt,371,82,5
1123,Da Nang,men,Jewellery,Earrings,Brown,Fall,2021,Casual,Rreverie Silver Earrings,297,181,2
1124,Ha Noi,women,Sandal,Sandals,Purple,Spring,2022,Casual,Clarks Men Black Leather Closed Sandals,487,164,2
1125,Ho Chi Minh City,women,Innerwear,Bra,Silver,Summer,2018,Casual,Peri Peri Women White Bra,334,756,5
1126,Ho Chi Minh City,women,Socks,Socks,Purple,Winter,2021,Casual,Genesis Men Pack of 3 Socks,128,111,2
1127,Ha Noi,men,Bags,Backpacks,White,Summer,2021,Casual,Quiksilver Unisex Blue Backpack,469,183,2
1128,Ho Chi Minh City,women,Topwear,Shirts,White,Fall,2022,Casual,Basics Men White Slim Fit Striped Shirt,391,419,2
1129,Da Nang,women,Topwear,Tunics,Purple,Summer,2020,Ethnic,Fusion Beats Women Dark Pink Tunic,412,371,2
1130,Ho Chi Minh City,women,Topwear,Shirts,Brown,Fall,2018,Casual,Scullers Men Solid Maroon Shirts,228,710,5
1131,Ho Chi Minh City,women,Fragrance,Deodorant,White,Spring,2019,Casual,Secret Temptation Women Mystery Deo,318,185,3
1132,Ho Chi Minh City,men,Belts,Belts,White,Winter,2022,Casual,Fastrack Men Non Leather Brown Belts,164,236,3
1133,Kontum,men,Topwear,Tshirts,White,Summer,2022,Casual,United Colors of Benetton Men Printed Black TShirt,448,474,2
1134,Kontum,women,Topwear,Tshirts,White,Summer,2018,Casual,Basics Men Blue Polo T-shirt,363,174,5
1135,Ho Chi Minh City,women,Topwear,Tshirts,Black,Fall,2022,Sports,Puma Men's Knit Polo Black  Polo T-shirt,468,227,5
1136,Da Nang,women,Topwear,Jackets,Brown,Summer,2022,Casual,Forever New Women Long Black Jacket,219,519,2
1137,Da Nang,women,Topwear,Shirts,White,Fall,2022,Formal,United Colors of Benetton Men Summer White Shirts,240,104,1
1138,Kontum,women,Free Gifts,Free Gifts,Brown,Winter,2022,Casual,Maxima Men Black Dial Watch,260,309,1
1139,Da Nang,women,Bags,Backpacks,Black,Summer,2019,Casual,Peter England Unisex Black Backpack,132,611,3
1140,Ho Chi Minh City,women,Jewellery,Earrings,Black,Summer,2021,Casual,Adrika Green Earrings,344,625,5
1141,Da Nang,men,Topwear,Tops,Black,Summer,2022,Casual,Wrangler Women Red Stay Gold Tee Top,221,499,2
1142,Ho Chi Minh City,women,Topwear,Kurtas,Purple,Summer,2022,Ethnic,Mother Earth Women Printed Blue Kurta,472,281,1
